year, mo,source_dataset, region, extent,   area
1979,  9,    NSIDC-0051,      S,  18.20,  14.29
1980,  9,    NSIDC-0051,      S,  18.82,  14.87
1981,  9,    NSIDC-0051,      S,  18.60,  14.78
1982,  9,    NSIDC-0051,      S,  18.35,  14.53
1983,  9,    NSIDC-0051,      S,  18.59,  14.68
1984,  9,    NSIDC-0051,      S,  18.17,  14.27
1985,  9,    NSIDC-0051,      S,  18.70,  14.72
1986,  9,    NSIDC-0051,      S,  17.68,  13.88
1987,  9,    NSIDC-0051,      S,  18.25,  14.27
1988,  9,    NSIDC-0051,      S,  18.31,  14.20
1989,  9,    NSIDC-0051,      S,  18.12,  14.48
1990,  9,    NSIDC-0051,      S,  18.19,  14.39
1991,  9,    NSIDC-0051,      S,  18.31,  14.47
1992,  9,    NSIDC-0051,      S,  18.15,  14.13
1993,  9,    NSIDC-0051,      S,  18.54,  14.70
1994,  9,    NSIDC-0051,      S,  18.61,  14.61
1995,  9,    NSIDC-0051,      S,  18.37,  14.46
1996,  9,    NSIDC-0051,      S,  18.63,  14.54
1997,  9,    NSIDC-0051,      S,  18.60,  14.59
1998,  9,    NSIDC-0051,      S,  18.90,  14.84
1999,  9,    NSIDC-0051,      S,  18.70,  14.62
2000,  9,    NSIDC-0051,      S,  18.89,  15.07
2001,  9,    NSIDC-0051,      S,  18.17,  14.36
2002,  9,    NSIDC-0051,      S,  17.89,  14.10
2003,  9,    NSIDC-0051,      S,  18.30,  14.14
2004,  9,    NSIDC-0051,      S,  18.92,  14.59
2005,  9,    NSIDC-0051,      S,  18.80,  14.85
2006,  9,    NSIDC-0051,      S,  19.09,  15.18
2007,  9,    NSIDC-0051,      S,  18.86,  15.39
2008,  9,    NSIDC-0051,      S,  18.15,  14.39
2009,  9,    NSIDC-0051,      S,  18.96,  15.08
2010,  9,    NSIDC-0051,      S,  18.80,  14.43
2011,  9,    NSIDC-0051,      S,  18.74,  14.57
2012,  9,    NSIDC-0051,      S,  19.21,  15.41
2013,  9,    NSIDC-0051,      S,  19.39,  15.28
2014,  9,    NSIDC-0051,      S,  19.76,  15.75
2015,  9,    NSIDC-0051,      S,  18.44,  14.45
2016,  9,    NSIDC-0051,      S,  18.15,  13.86
2017,  9,    NSIDC-0051,      S,  17.91,  13.92
2018,  9,    NSIDC-0051,      S,  17.96,  14.20
2019,  9,    NSIDC-0051,      S,  18.33,  14.60
2020,  9,    NSIDC-0051,      S,  18.84,  15.09
2021,  9,    NSIDC-0051,      S,  18.51,  14.42
2022,  9,    NSIDC-0051,      S,  18.06,  14.07
2023,  9,    NSIDC-0051,      S,  16.89,  13.01
2024,  9,    NSIDC-0051,      S,  17.15,  13.32
2025,  9,    NSIDC-0803,      S,  17.64,  13.54
